		Nome Progetto:	PROGETTO WIRES_244											
		commessa:	commessa											
	ORIGINE			DESTINAZIONE										
N. Pagina	Zona	Componente:pin	N. Pagina	Zona	Componente:pin	Numero filo	Sezione	Colore	Tipo pot.	Nome pot.	L filo (m)	Traccia collegamenti	Terminazione Origine	Terminazione Destinazione
+1500/1.1	Q	=-F1500.1:1	+1500/1.1	Q	=-F1500.2:1	0005L1	1,5 mm²	BK	L	400V	0,474 m	=-U4	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+1500/1.1	Q	=-F1500.1:2	+1500/1.1	Q	=-Q1500.1:1	1500.01	1,5 mm²	BK	L	400V	1,827 m	=-U3;=-U5;=-U2	ELETTROSALDATO_molla	PUNTALINO_vite
+1500/1.1	Q	=-F1500.1:3	+1500/1.1	Q	=-F1500.2:3	0005L2	1,5 mm²	BK	L	400V	0,474 m	=-U4	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+1500/1.1	Q	=-F1500.1:4	+1500/1.1	Q	=-Q1500.1:3	1500.02	1,5 mm²	BK	L	400V	1,85 m	=-U3;=-U5;=-U2	ELETTROSALDATO_molla	PUNTALINO_vite
+1500/1.1	Q	=-F1500.1:5	+1500/1.1	Q	=-F1500.2:5	0005L3	1,5 mm²	BK	L	400V	0,474 m	=-U4	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+1500/1.1	Q	=-F1500.1:6	+1500/1.1	Q	=-Q1500.1:5	1500.03	1,5 mm²	BK	L	400V	1,873 m	=-U3;=-U5;=-U2	ELETTROSALDATO_molla	PUNTALINO_vite
+1500/1.1	Q	=-F1500.2:1	+1500/1.1	Q	=-F1500.3:1	0005L1	1,5 mm²	BK	L	400V	0,474 m	=-U4	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+1500/1.1	Q	=-F1500.2:2	+1500/1.1	Q	=-Q1500.2:1	1500.07	1,5 mm²	BK	L	400V	1,917 m	=-U3;=-U5;=-U2	ELETTROSALDATO_molla	PUNTALINO_vite
+1500/1.1	Q	=-F1500.2:3	+1500/1.1	Q	=-F1500.3:3	0005L2	1,5 mm²	BK	L	400V	0,474 m	=-U4	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+1500/1.1	Q	=-F1500.2:4	+1500/1.1	Q	=-Q1500.2:3	1500.08	1,5 mm²	BK	L	400V	1,94 m	=-U3;=-U5;=-U2	ELETTROSALDATO_molla	PUNTALINO_vite
+1500/1.1	Q	=-F1500.2:5	+1500/1.1	Q	=-F1500.3:5	0005L3	1,5 mm²	BK	L	400V	0,474 m	=-U4	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+1500/1.1	Q	=-F1500.2:6	+1500/1.1	Q	=-Q1500.2:5	1500.09	1,5 mm²	BK	L	400V	1,963 m	=-U3;=-U5;=-U2	ELETTROSALDATO_molla	PUNTALINO_vite
+1500/1.1	Q	=-F1500.3:2	+1500/1.1	Q	=-Q1500.3:1	1500.13	1,5 mm²	BK	L	400V	2,007 m	=-U3;=-U5;=-U2	ELETTROSALDATO_molla	PUNTALINO_vite
+1500/1.1	Q	=-F1500.3:4	+1500/1.1	Q	=-Q1500.3:3	1500.14	1,5 mm²	BK	L	400V	2,03 m	=-U3;=-U5;=-U2	ELETTROSALDATO_molla	PUNTALINO_vite
+1500/1.1	Q	=-F1500.3:6	+1500/1.1	Q	=-Q1500.3:5	1500.15	1,5 mm²	BK	L	400V	2,053 m	=-U3;=-U5;=-U2	ELETTROSALDATO_molla	PUNTALINO_vite
+1500/1.2	Q	=-F1500.1:14	+1500/1.2	Q	=-Q1500.1:A1	1500.51	0,75 mm²	BU	+	24VDC	2,003 m	=-U4;=-U5;=-U2	ELETTROSALDATO_molla	PUNTALINO_vite
+1500/1.2	Q	=-F1500.2:14	+1500/1.2	Q	=-Q1500.2:A1	1500.53	0,75 mm²	BU	+	24VDC	2,093 m	=-U4;=-U5;=-U2	ELETTROSALDATO_molla	PUNTALINO_vite
+1500/1.2	Q	=-F1500.3:14	+1500/1.2	Q	=-Q1500.3:A1	1500.55	0,75 mm²	BU	+	24VDC	2,183 m	=-U4;=-U5;=-U2	ELETTROSALDATO_molla	PUNTALINO_vite
+0030/1.1	Q	=-F0030.1:2	+0030/1.1	Q	=-T0030:L	003010L1	2,5 mm²	BK	L	400V	0,76 m	=-U3	PUNTALINO_vite	PUNTALINO_vite
+0030/1.1	Q	=-T0030:+1	+0030/1.1	Q	=-F0030.2:1	24	2,5 mm²	BU	+	24VDC	0,705 m	=-U3;=-U6;=-U4	PUNTALINO_vite	PUNTALINO_vite
+1500/1.2	Q	=-Q1500.1:A2	+1500/1.2	Q	=-Q1500.2:A2	0V	1 mm²	BU	-	0VDC	0,3 m	=-U1	PUNTALINO_vite	PUNTALINO_vite
+1500/1.2	Q	=-Q1500.2:A2	+1500/1.2	Q	=-Q1500.3:A2	0V	1 mm²	BU	-	0VDC	0,3 m	=-U1	PUNTALINO_vite	PUNTALINO_vite
+0005/1.1	Q	=-X0005.1:PE:1	+0005/1.1	Q	=-PE:PE	0005PE	4 mm²	GNYE	PE	PE	0,195 m	=-U2	ELETTROSALDATO_molla	
+0030/1.1	Q	=-X0005.2:PE1:1	+0030/1.1	Q	=-T0030:PE	PE0030.01	2.5 mm²	GNYE	PE	PE	1,37 m	=-U4;=-U5;=-U3	ELETTROSALDATO_molla	PUNTALINO_vite
+0030/1.1	Q	=-T0030:-2	+0030/1.1	Q	=-X0030.1:PE1:1	PE0030.02	2,5 mm²	GNYE	PE	PE	0,688 m	=-U3;=-U6;=-U4	PUNTALINO_vite	ELETTROSALDATO_molla
+1500/1.1	Q	=-Q1500.1:2	+1500/1.1	Q	=-X1500:1:1	1500.04	1,5 mm²	BK	L	400V	1,166 m	=-U1;=-U5;=-U2	PUNTALINO_vite	ELETTROSALDATO_molla
+1500/1.1	Q	=-Q1500.1:4	+1500/1.1	Q	=-X1500:2:1	1500.05	1,5 mm²	BK	L	400V	1,18 m	=-U1;=-U5;=-U2	PUNTALINO_vite	ELETTROSALDATO_molla
+1500/1.1	Q	=-Q1500.1:6	+1500/1.1	Q	=-X1500:3:1	1500.06	1,5 mm²	BK	L	400V	1,193 m	=-U1;=-U5;=-U2	PUNTALINO_vite	ELETTROSALDATO_molla
+1500/1.1	Q	=-Q1500.2:2	+1500/1.1	Q	=-X1500:5:1	1500.10	1,5 mm²	BK	L	400V	1,231 m	=-U1;=-U5;=-U2	PUNTALINO_vite	ELETTROSALDATO_molla
+1500/1.1	Q	=-Q1500.2:4	+1500/1.1	Q	=-X1500:6:1	1500.11	1,5 mm²	BK	L	400V	1,245 m	=-U1;=-U5;=-U2	PUNTALINO_vite	ELETTROSALDATO_molla
+1500/1.1	Q	=-Q1500.2:6	+1500/1.1	Q	=-X1500:7:1	1500.12	1,5 mm²	BK	L	400V	1,259 m	=-U1;=-U5;=-U2	PUNTALINO_vite	ELETTROSALDATO_molla
+1500/1.1	Q	=-Q1500.3:2	+1500/1.1	Q	=-X1500:9:1	1500.16	1,5 mm²	BK	L	400V	1,297 m	=-U1;=-U5;=-U2	PUNTALINO_vite	ELETTROSALDATO_molla
+1500/1.1	Q	=-Q1500.3:4	+1500/1.1	Q	=-X1500:10:1	1500.17	1,5 mm²	BK	L	400V	1,31 m	=-U1;=-U5;=-U2	PUNTALINO_vite	ELETTROSALDATO_molla
+1500/1.1	Q	=-Q1500.3:6	+1500/1.1	Q	=-X1500:11:1	1500.18	1,5 mm²	BK	L	400V	1,324 m	=-U1;=-U5;=-U2	PUNTALINO_vite	ELETTROSALDATO_molla
+1600/1.1	Q	=-X1600:5:1	+1600/1.1	Q	=-X0030.1:PE3:2	PE1600.01	1,5 mm²	GNYE	PE	PE	1,819 m	=-U2;=-U6;=-U4	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+0005/1.2	Q	=-X0005.2:0005L1:b2	+0030/1.1	Q	=-F0030.1:1	0005L1	1,5 mm²	BK	L	400V	0,716 m	=-U3;=-U5;=-U4	ELETTROSALDATO_molla	PUNTALINO_vite
+0005/1.2	Q	=-X0005.2:0005N:b1	+0030/1.1	Q	=-T0030:N	0005N	1,5 mm²	LHBU	N	N	1,023 m	=-U3	ELETTROSALDATO_molla	PUNTALINO_vite
+0005/1.2	Q	=-X0005.2:0005L1:b1	+1500/1.1	Q	=-F1500.1:1	0005L1	1,5 mm²	BK	L	400V	0,732 m	=-U3;=-U5;=-U4	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+0005/1.2	Q	=-X0005.2:0005L2:b1	+1500/1.1	Q	=-F1500.1:3	0005L2	1,5 mm²	BK	L	400V	0,489 m	=-U4	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+0005/1.2	Q	=-X0005.2:0005L3:b1	+1500/1.1	Q	=-F1500.1:5	0005L3	1,5 mm²	BK	L	400V	0,496 m	=-U4	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+0030/1.1	Q	=-T0030:-1	+0030/1.2	Q	=-X0030.1:0V.1:a1	0V	2,5 mm²	BU	-	0VDC	0,706 m	=-U3;=-U6;=-U4	PUNTALINO_vite	ELETTROSALDATO_molla
+0030/1.1	Q	=-F0030.2:2	+0030/1.2	Q	=-X0030.1:1L+.1:a1	1L+	2,5 mm²	BU	+	24VDC	0,578 m	=-U3;=-U6;=-U4	PUNTALINO_vite	ELETTROSALDATO_molla
+0030/1.2	Q	=-X0030.1:0V.2:a1	+1500/1.2	Q	=-Q1500.1:A2	0V	1 mm²	BU	-	0VDC	2,491 m	=-U4;=-U6;=-U1	ELETTROSALDATO_molla	PUNTALINO_vite
+0030/1.2	Q	=-X0030.1:1L+.2:a2	+1600/1.1	Q	=-X1600:1:1	1L+	1 mm²	BU	+	24VDC	1,82 m	=-U4;=-U6;=-U2	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+1500/1.2	Q	=-F1500.1:13	+1600/1.1	Q	=-X1600:2:1	1500.50	0,75 mm²	BU	+	24VDC	2,506 m	=-U4;=-U5;=-U2	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+1500/1.2	Q	=-F1500.2:13	+1600/1.1	Q	=-X1600:3:1	1500.52	0,75 mm²	BU	+	24VDC	2,531 m	=-U4;=-U6;=-U2	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+1500/1.2	Q	=-F1500.3:13	+1600/1.1	Q	=-X1600:4:1	1500.54	0,75 mm²	BU	+	24VDC	2,481 m	=-U4;=-U6;=-U2	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+0005/1.1	Q	=-X0005.1:L1:1	+0005/1.2	Q	=-X0005.2:0005L1:a1	0005L1	4 mm²	BK	L	400V	1,678 m	=-U2;=-U5;=-U4	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+0005/1.1	Q	=-X0005.1:L2:1	+0005/1.2	Q	=-X0005.2:0005L2:a1	0005L2	4 mm²	BK	L	400V	1,694 m	=-U2;=-U5;=-U4	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+0005/1.1	Q	=-X0005.1:L3:1	+0005/1.2	Q	=-X0005.2:0005L3:a1	0005L3	4 mm²	BK	L	400V	1,71 m	=-U2;=-U5;=-U4	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+0005/1.1	Q	=-X0005.1:N:1	+0005/1.2	Q	=-X0005.2:0005N:a1	0005N	4 mm²	LHBU	N	N	1,726 m	=-U2;=-U5;=-U4	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+0005/1.1	Q	=-X0005.1:PE:1	+0005/1.1	Q	=-Stop:stop	0005PE		GNYE			0,2 m	=-U2	ELETTROSALDATO_molla	
+1600/1.1	P	=-S1600.01:13	+1600/1.1	P	=-S1600.02:13	1L+	1 mm²	BU	+	24VDC				
+1600/1.1	P	=-S1600.02:13	+1600/1.1	P	=-S1600.03:13	1L+	1 mm²	BU	+	24VDC				
+1500/1.1	B	=-X1500.1:1	+1500/1.1	B	=-M1500.1:U1	1500.04	1,5 mm²	1	L	400V	1 m			
+1500/1.1	B	=-X1500.1:2	+1500/1.1	B	=-M1500.1:V1	1500.05	1,5 mm²	2	L	400V	1 m			
+1500/1.1	B	=-X1500.1:3	+1500/1.1	B	=-M1500.1:W1	1500.06	1,5 mm²	3	L	400V	1 m			
+1500/1.1	B	=-X1500.1:4	+1500/1.1	B	=-M1500.1:PE	PE1500.1	1,5 mm²	GNYE	PE	PE	1 m			
+1500/1.1	B	=-X1500.2:1	+1500/1.1	B	=-M1500.2:U1	1500.\0	1,5 mm²	1	L	400V	1 m			
+1500/1.1	B	=-X1500.2:2	+1500/1.1	B	=-M1500.2:V1	1500.11	1,5 mm²	2	L	400V	1 m			
+1500/1.1	B	=-X1500.2:3	+1500/1.1	B	=-M1500.2:W1	1500.12	1,5 mm²	3	L	400V	1 m			
+1500/1.1	B	=-X1500.2:4	+1500/1.1	B	=-M1500.2:PE	PE1500.2	1,5 mm²	GNYE	PE	PE	1 m			
+1500/1.1	B	=-X1500.3:1	+1500/1.1	B	=-M1500.3:U1	1500.16	1,5 mm²	1	L	400V	1 m			
+1500/1.1	B	=-X1500.3:2	+1500/1.1	B	=-M1500.3:V1	1500.17	1,5 mm²	2	L	400V	1 m			
+1500/1.1	B	=-X1500.3:3	+1500/1.1	B	=-M1500.3:W1	1500.18	1,5 mm²	3	L	400V	1 m			
+1500/1.1	B	=-X1500.3:4	+1500/1.1	B	=-M1500.3:PE	PE1500.3	1,5 mm²	GNYE	PE	PE	1 m			
+1600/1.1	B	=-X1600.1:1	+1600/1.1	P	=-S1600.01:13	1L+	1 mm²	1	+	24VDC				
+1600/1.1	P	=-S1600.01:14	+1600/1.1	B	=-X1600.1:2	1500.50	1 mm²	2	+	24VDC				
+1600/1.1	P	=-S1600.02:14	+1600/1.1	B	=-X1600.1:3	1500.52	1 mm²	3	+	24VDC				
+1600/1.1	P	=-S1600.03:14	+1600/1.1	B	=-X1600.1:4	1500.54	1 mm²	4	+	24VDC				
+1600/1.1	B	=-S1600.03:PE	+1600/1.1	B	=-X1600.1:5	PE1600.01	1 mm²	GNYE	PE	PE				
